ID,Label
YoutubeCorpus37,NAG
C37.1,CAG
C37.2,NAG
C37.3,NAG
C37.4,NAG
C37.4.1,NAG
C37.4.2,NAG
C37.5,CAG
C37.5.1,CAG
C37.6,NAG
C37.6.1,NAG
C37.6.2,NAG
C37.6.3,NAG
C37.6.4,NAG
C37.7,NAG
C37.7.1,CAG
C37.7.2,NAG
C37.7.3,NAG
C37.7.4,OAG
C37.8,NAG
C37.8.1,NAG
C37.8.2,NAG
C37.9,NAG
C37.9.1,NAG
C37.10,NAG
C37.10.1,NAG
C37.10.2,NAG
C37.11,NAG
C37.12,NAG
C37.12.1,CAG
C37.12.2,CAG
C37.12.3,NAG
C37.13,NAG
C37.13.1,OAG
C37.14,NAG
C37.14.1,NAG
C37.14.2,NAG
C37.15,NAG
C37.15.1,CAG
C37.15.2,NAG
C37.16,NAG
Youtube Corpus 52,NAG
C52.1,NAG
C52.2,NAG
C52.3,NAG
C52.4,NAG
C52.5,NAG
C52.7.1,NAG
C52.8,NAG
C52.8.1,NAG
C52.8.2,NAG
C52.9,NAG
C52.11,NAG
C52.12,NAG
C52.13,NAG
C52.16,NAG
C52.16.1,NAG
C52.20,NAG
C52.21,NAG
C52.22,NAG
C52.23,NAG
C52.24,NAG
C52.25,NAG
C52.25.1,NAG
C52.26.1,NAG
C52.30,NAG
C52.35.1,NAG
C52.37,NAG
C52.38,NAG
C52.40,NAG
C52.40.1,NAG
C52.40.2,NAG
C52.40.3,NAG
C52.42,NAG
C52.42.1,NAG
C52.43.1,NAG
C52.45,NAG
C52.46,NAG
C52.49.1,NAG
C52.49.2,NAG
C52.50.1,NAG
C52.51,NAG
C52.54,NAG
C52.54.1,NAG
C52.57,NAG
C52.58,NAG
C52.59,NAG
C52.60,NAG
C52.63,NAG
C52.65.1,NAG
C52.68.1,NAG
C52.69,NAG
C52.70,NAG
C52.70.1,NAG
C52.70.2,NAG
C52.70.3,NAG
C52.74.1,NAG
C52.75.1,NAG
C52.76,NAG
C52.77,NAG
C52.78,NAG
C52.86.1,NAG
C52.86.2,NAG
C52.87,NAG
C52.88,NAG
C52.89.1,NAG
C52.90.1,NAG
C52.91.2,NAG
C52.91.4,NAG
C52.92.1,NAG
C52.96,NAG
C52.96.1,NAG
C52.97,NAG
C52.97.1,NAG
C52.97.2,NAG
C52.97.3,NAG
C52.98,NAG
C52.103,NAG
C52.104.2,NAG
C52.105,NAG
C52.105.1,NAG
C52.106,NAG
C52.106.1,NAG
C52.107,NAG
C52.108.1,NAG
C52.111.1,NAG
C52.112,NAG
C52.113,NAG
C52.114.4,NAG
C52.116,NAG
C52.116.1,NAG
C52.117,NAG
C52.121,NAG
C52.121.1,NAG
C52.121.2,NAG
C52.123,NAG
C52.124,NAG
C52.126.1,NAG
C52.128,NAG
C52.129,NAG
C52.130,NAG
C52.130.1,NAG
C52.132.2,NAG
C52.134,NAG
C52.134.1,NAG
C52.134.2,NAG
C52.136.1,NAG
C52.137.1,NAG
C52.137.3,NAG
C52.139.2,NAG
C52.139.5,NAG
C52.141,NAG
C52.141.1,NAG
C52.141.3,NAG
C52.141.4,NAG
C52.143,NAG
C52.143.2,NAG
Youtube Corpus 53,NAG
C53.2,OAG
C53.4.1,NAG
C53.5,NAG
C53.11.1,NAG
C53.11.4,NAG
C53.13.1,NAG
Youtube Corpus 60,NAG
C60.1.1,NAG
C60.1.3,NAG
C60.1.5,NAG
C60.5,NAG
C60.8,NAG
C60.9,NAG
C60.13,NAG
C60.21,NAG
C60.27,NAG
C60.29,NAG
C60.33,NAG
C60.34,NAG
C60.35,NAG
C60.36,NAG
C60.39,NAG
C60.48,NAG
C60.58,NAG
C60.68,NAG
C60.69,NAG
C60.70,NAG
C60.79,NAG
C60.82,NAG
C60.91,NAG
C60.109,NAG
C60.110,NAG
C60.111,NAG
C60.112,NAG
C60.117,NAG
C60.127,NAG
C60.134,NAG
C60.136,NAG
C60.137,NAG
C60.145,NAG
C60.154,NAG
C60.155,NAG
C60.159,NAG
C60.160,NAG
C60.161,NAG
C60.167,NAG
C60.171,NAG
C60.175,NAG
C60.177,NAG
C60.178,NAG
C60.180,NAG
C60.184,NAG
C60.193,CAG
C60.195,NAG
C60.197,NAG
C60.206,NAG
C60.207,NAG
C60.209,NAG
C60.213,NAG
C60.218,NAG
C60.220,NAG
C60.221,NAG
C60.224,NAG
C60.227,NAG
C60.235,NAG
C60.240,NAG
C60.242,NAG
C60.244,NAG
C60.257,OAG
C60.258,NAG
C60.263,NAG
C60.266,NAG
C60.267,NAG
C60.270,NAG
C60.279,NAG
C60.286,NAG
C60.287,NAG
C60.296,NAG
C60.298,NAG
C60.299,NAG
C60.300,NAG
C60.305,NAG
C60.314,NAG
C60.321,NAG
C60.322,NAG
C60.325,NAG
C60.326,NAG
C60.331,NAG
C60.333,NAG
C60.335,NAG
C60.339,NAG
C60.342,NAG
C60.344,NAG
C60.345,NAG
C60.347,NAG
C60.348,NAG
C60.352,NAG
C60.355,NAG
C60.357,NAG
C60.359,NAG
C60.360,NAG
C60.367,NAG
C60.370,OAG
C60.372,NAG
C60.373,NAG
C60.384,NAG
C60.389,NAG
C60.394,NAG
C60.396,NAG
C60.398,NAG
C60.406,NAG
C60.408,NAG
C60.426,NAG
C60.428,OAG
C60.430,NAG
C60.432.1,NAG
C60.432.3,NAG
C60.434,NAG
C60.436,NAG
C60.439,NAG
C60.441,NAG
C60.450,NAG
C60.452,NAG
C60.465,NAG
C60.466,NAG
C60.471,NAG
C60.472,NAG
C60.474,NAG
C60.475,NAG
C60.478,NAG
C60.481,NAG
C60.482,NAG
C60.483,NAG
C60.486,NAG
C60.487,NAG
C60.495.2,NAG
C60.495.4,NAG
C60.496,NAG
C60.499,NAG
C60.506,NAG
C60.513,NAG
C60.519,NAG
C60.522,NAG
C60.523,NAG
C60.526,OAG
C60.528,NAG
C60.531,NAG
C60.538,NAG
C60.539,NAG
C60.540,NAG
C18.52,NAG
C24.24.1,OAG
C24.29,NAG
C24.33,CAG
C24.41,OAG
C24.49,OAG
C24.68,NAG
C24.75,NAG
C24.80.2,OAG
C24.80.4,NAG
C24.80.5,NAG
C24.84,CAG
C24.90,CAG
C24.92.1,OAG
C24.96.2,OAG
C24.96.3,OAG
C24.116,OAG
C24.121,NAG
C24.124,OAG
C24.126,CAG
C24.134,OAG
C24.134.1,OAG
C24.136,OAG
C24.142,NAG
C24.145,NAG
C24.147,NAG
C24.149,CAG
C24.150,OAG
C24.155,CAG
C24.155.2,OAG
C24.165,CAG
C24.167,NAG
C24.178,OAG
C24.179.3,NAG
C24.179.4,NAG
C24.179.5,OAG
C24.180,CAG
C24.184,NAG
C24.192,NAG
C24.194.2,OAG
C24.195,NAG
C24.197.1,NAG
C24.199,OAG
C24.200,CAG
C24.202,NAG
C24.203,OAG
C24.215.1,OAG
C24.218,NAG
C24.222,CAG
C24.224,NAG
C24.227,CAG
C24.232,OAG
C24.238,NAG
C24.245,NAG
C24.249.3,OAG
C24.256,CAG
C24.261,OAG
C24.264,OAG
C24.265,OAG
C24.269,NAG
C24.282,NAG
C24.282.1,NAG
C24.290,CAG
C24.292,OAG
C24.308,NAG
C24.312,NAG
C24.314,NAG
C24.316,OAG
C24.322,CAG
C24.323,OAG
C24.334,CAG
C24.338.4,OAG
C24.340,NAG
C24.340.1,NAG
C24.344,OAG
C24.346,NAG
C24.351,CAG
C24.358,CAG
C24.359,NAG
C24.359.1,NAG
C24.370,NAG
C24.379,NAG
C24.379.1,OAG
C24.379.2,CAG
C24.379.3,OAG
C24.392,NAG
C24.408,NAG
C24.414,NAG
C24.422,NAG
C24.432,CAG
C24.443,OAG
C24.447,OAG
C24.454,CAG
C24.457,NAG
C24.471.2,OAG
C24.472,OAG
C24.496,CAG
C24.497.1,OAG
C24.500,CAG
C24.509,OAG
C24.510,NAG
C24.512.4,OAG
C24.515,CAG
C24.523,NAG
C24.523.2,CAG
C24.527,OAG
C24.529,NAG
C24.531,OAG
C24.531.1,OAG
C24.532,OAG
C24.536,NAG
C24.536.2,NAG
C24.551,OAG
C24.553,NAG
C24.554,OAG
C24.555,OAG
C24.557,CAG
C24.561,NAG
C24.562,CAG
C24.569,NAG
C24.573,OAG
C24.582.1,OAG
C24.582.4,OAG
C24.593.2,OAG
C24.598,NAG
C24.606,NAG
C24.611,NAG
C24.615,NAG
C24.619,OAG
C24.627,OAG
C24.630,OAG
C24.633,NAG
C24.634,CAG
C24.635.1,NAG
C24.638,OAG
C24.654.1,NAG
C24.662,NAG
C24.663,OAG
C24.663.1,NAG
C24.669,NAG
C24.671,CAG
C24.676,CAG
C24.692,NAG
C24.695,CAG
C24.696,CAG
C24.707,NAG
C24.709,CAG
C24.710,CAG
C24.714,OAG
C24.717,OAG
C24.735,NAG
C24.740.3,NAG
C24.740.5,NAG
C24.742,NAG
C24.748.4,OAG
C24.749,NAG
C24.764,CAG
C24.772,NAG
C24.777,NAG
C24.783.1,OAG
C24.783.3,CAG
C24.786,OAG
C24.786.1,NAG
C24.786.5,NAG
C24.790.1,NAG
C24.799,NAG
C24.800,NAG
C24.805.5,NAG
C24.818,NAG
C24.828.1,OAG
C24.834,OAG
C24.834.1,NAG
C24.835,NAG
C24.836.1,CAG
C24.837,NAG
C24.837.3,OAG
C24.845.1,CAG
C24.846.4,OAG
C24.852.2,OAG
C24.852.3,OAG
C24.854.3,CAG
C24.858,NAG
C24.866.4,CAG
C24.868,OAG
C24.869.1,OAG
C24.869.2,CAG
C24.869.4,OAG
C24.869.5,OAG
C24.871,OAG
C24.880,NAG
C24.889,NAG
C24.896,CAG
C24.896.1,CAG
C24.896.3,CAG
C24.916,CAG
C24.916.1,OAG
C24.918,NAG
C24.933,OAG
C24.938,OAG
C24.940,NAG
C24.949,OAG
C24.963,NAG
C24.966,CAG
C24.967,NAG
C24.971,OAG
C24.985,NAG
C24.989,NAG
C24.1010,CAG
C24.1021,CAG
C24.1023,NAG
C24.1029,CAG
C24.1036.1,CAG
C24.1041,NAG
C24.1043,OAG
C24.1046,NAG
C24.1049,NAG
C24.1050,OAG
C24.1051,OAG
C24.1060,OAG
C24.1060.1,CAG
C24.1060.2,OAG
C24.1076,NAG
C24.1077,CAG
C24.1080,CAG
C24.1084,CAG
C24.1106,NAG
C24.1113,NAG
C24.1118,OAG
C24.1127.2,NAG
C24.1127.3,CAG
C24.1140,NAG
C24.1156,NAG
C24.1162,NAG
C24.1167,NAG
C24.1170,NAG
C24.1171,OAG
C24.1180,CAG
